DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2014,0.42,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2015,0.01,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2016,0.01,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2018,0.04,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2019,0.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2020,0.00,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2021,0.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,LV,2022,0.09,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2014,0.08,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2015,0.16,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2016,0.20,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2017,0.16,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2018,0.10,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2019,0.10,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2020,0.10,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2021,0.10,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,MT,2022,0.20,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2014,339.98,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2015,425.84,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2016,471.89,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2017,405.44,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2018,577.83,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2019,580.79,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2020,1109.70,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2021,618.93,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,NL,2022,804.44,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2014,4.19,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2015,5.67,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2016,5.38,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2017,4.29,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2018,49.49,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2019,12.88,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2020,22.49,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2021,8.44,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PL,2022,19.45,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2014,9.52,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2015,6.22,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2016,2.00,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2017,2.17,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2018,1.64,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2019,0.89,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2020,2.32,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2021,2.17,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,PT,2022,4.25,b
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2014,0.03,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2016,0.78,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2017,0.86,
ESTAT:SDG_13_50(1.0),23/01/24 11:00:00,A,MIO_EUR,RO,2018,0.03,
